day;timestamp;buyer;seller;symbol;currency;price;quantity
2;100;Gary;Camilla;BERRIES;SEASHELLS;3854.0;19
2;100;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
2;200;Paris;Caesar;DIP;SEASHELLS;7094.0;7
2;200;Paris;Charlie;BANANAS;SEASHELLS;4827.0;1
2;200;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
2;300;Charlie;Paris;BANANAS;SEASHELLS;4822.0;1
2;400;Charlie;Pablo;BANANAS;SEASHELLS;4823.0;5
2;500;Paris;Charlie;PEARLS;SEASHELLS;10005.0;2
2;500;Paris;Charlie;BANANAS;SEASHELLS;4828.0;2
2;500;Paris;Camilla;BERRIES;SEASHELLS;3854.0;6
2;600;Caesar;Paris;BAGUETTE;SEASHELLS;12247.0;6
2;1000;Pablo;Paris;PEARLS;SEASHELLS;10002.0;1
2;1000;Paris;Caesar;DIP;SEASHELLS;7099.0;4
2;1000;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;2
2;1200;Caesar;Paris;DIP;SEASHELLS;7096.0;9
2;1200;Charlie;Paris;BANANAS;SEASHELLS;4822.0;1
2;1300;Pablo;Camilla;PICNIC_BASKET;SEASHELLS;74297.0;6
2;1300;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
2;1300;Camilla;Camilla;DIVING_GEAR;SEASHELLS;99179.0;3
2;1300;Camilla;Paris;DIVING_GEAR;SEASHELLS;99179.0;3
2;1500;Charlie;Paris;BANANAS;SEASHELLS;4822.0;1
2;1600;Caesar;Gary;PEARLS;SEASHELLS;9996.0;1
2;1700;Paris;Caesar;UKULELE;SEASHELLS;20965.0;3
2;1900;Camilla;Gary;PEARLS;SEASHELLS;9998.0;8
2;1900;Charlie;Gary;PEARLS;SEASHELLS;9998.0;4
2;2000;Caesar;Paris;UKULELE;SEASHELLS;20970.0;2
2;2300;Caesar;Paris;UKULELE;SEASHELLS;20968.0;2
2;2400;Paris;Charlie;DIVING_GEAR;SEASHELLS;99170.0;1
2;2500;Paris;Caesar;DIP;SEASHELLS;7095.0;6
2;2500;Charlie;Paris;DIVING_GEAR;SEASHELLS;99181.0;2
2;2700;Paris;Caesar;BAGUETTE;SEASHELLS;12238.0;5
2;2800;Caesar;Paris;DIP;SEASHELLS;7090.0;9
2;2900;Caesar;Paris;DIP;SEASHELLS;7090.0;10
2;3200;Paris;Charlie;PEARLS;SEASHELLS;10004.0;1
2;3200;Paris;Charlie;BANANAS;SEASHELLS;4828.0;2
2;3200;Paris;Caesar;PEARLS;SEASHELLS;10004.0;1
2;3400;Caesar;Paris;PEARLS;SEASHELLS;9998.0;1
2;3500;Pablo;Charlie;BANANAS;SEASHELLS;4825.0;4
2;3600;Penelope;Camilla;PEARLS;SEASHELLS;10002.0;5
2;3600;Paris;Caesar;BAGUETTE;SEASHELLS;12239.0;4
2;3600;Penelope;Charlie;PEARLS;SEASHELLS;10002.0;3
2;3900;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;4
2;3900;Charlie;Peter;COCONUTS;SEASHELLS;7921.0;10
2;4300;Camilla;Paris;BERRIES;SEASHELLS;3847.0;4
2;4600;Paris;Charlie;BANANAS;SEASHELLS;4825.0;1
2;4900;Paris;Caesar;PEARLS;SEASHELLS;10004.0;2
2;4900;Caesar;Camilla;UKULELE;SEASHELLS;20960.0;7
2;4900;Paris;Caesar;BANANAS;SEASHELLS;4824.0;2
2;5000;Caesar;Camilla;BAGUETTE;SEASHELLS;12223.0;4
2;5000;Charlie;Caesar;BANANAS;SEASHELLS;4820.0;3
2;5100;Charlie;Paris;DIVING_GEAR;SEASHELLS;99178.0;1
2;5300;Caesar;Caesar;COCONUTS;SEASHELLS;7923.0;46
2;5500;Caesar;Camilla;DIP;SEASHELLS;7084.0;4
2;5700;Camilla;Pablo;PICNIC_BASKET;SEASHELLS;74216.0;1
2;5700;Caesar;Pablo;PICNIC_BASKET;SEASHELLS;74217.0;1
2;5800;Charlie;Pablo;BANANAS;SEASHELLS;4818.0;1
2;5900;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
2;5900;Charlie;Paris;BANANAS;SEASHELLS;4817.0;1
2;6100;Caesar;Paris;UKULELE;SEASHELLS;20966.0;5
2;6200;Caesar;Camilla;DIP;SEASHELLS;7086.0;3
2;6300;Charlie;Pablo;BANANAS;SEASHELLS;4818.0;5
2;6300;Charlie;Penelope;BANANAS;SEASHELLS;4817.0;2
2;6500;Camilla;Gary;BERRIES;SEASHELLS;3847.0;13
2;6800;Caesar;Paris;DIP;SEASHELLS;7087.0;5
2;6900;Paris;Caesar;UKULELE;SEASHELLS;20963.0;2
2;6900;Charlie;Camilla;DIVING_GEAR;SEASHELLS;99185.0;2
2;6900;Paris;Charlie;DIVING_GEAR;SEASHELLS;99188.0;1
2;7100;Caesar;Caesar;COCONUTS;SEASHELLS;7914.0;40
2;7200;Caesar;Camilla;BAGUETTE;SEASHELLS;12210.0;5
