day;timestamp;buyer;seller;currency;price;quantity
1;30012.0;Caesar;Paris;SEASHELLS;12000.0;4
1;30025.0;Caesar;Camilla;SEASHELLS;12010.0;7
1;30025.0;Caesar;Paris;SEASHELLS;12010.0;5
1;30035.0;Paris;Caesar;SEASHELLS;12023.0;7
1;30036.0;Caesar;Paris;SEASHELLS;12021.0;8
1;30050.0;Caesar;Camilla;SEASHELLS;12017.0;4
1;30056.0;Caesar;Paris;SEASHELLS;12024.0;7
1;30077.0;Caesar;Camilla;SEASHELLS;12023.0;9
1;30082.0;Paris;Caesar;SEASHELLS;12032.0;5
1;30088.0;Caesar;Paris;SEASHELLS;12031.0;7
1;30128.0;Caesar;Camilla;SEASHELLS;12028.0;10
1;30143.0;Caesar;Paris;SEASHELLS;12032.0;5
1;30149.0;Caesar;Paris;SEASHELLS;12029.0;6
1;30160.0;Caesar;Paris;SEASHELLS;12040.0;6
1;30162.0;Caesar;Paris;SEASHELLS;12040.0;8
1;30176.0;Caesar;Paris;SEASHELLS;12033.0;5
1;30196.0;Caesar;Camilla;SEASHELLS;12045.0;6
1;30200.0;Caesar;Camilla;SEASHELLS;12039.0;6
1;30206.0;Paris;Caesar;SEASHELLS;12047.0;8
1;30211.0;Paris;Caesar;SEASHELLS;12042.0;5
1;30213.0;Caesar;Paris;SEASHELLS;12036.0;4
1;30218.0;Caesar;Paris;SEASHELLS;12027.0;4
1;30228.0;Caesar;Paris;SEASHELLS;12024.0;5
1;30231.0;Caesar;Paris;SEASHELLS;12025.0;3
1;30236.0;Paris;Caesar;SEASHELLS;12014.0;4
1;30240.0;Caesar;Paris;SEASHELLS;12014.0;8
1;30245.0;Caesar;Paris;SEASHELLS;12015.0;8
1;30252.0;Caesar;Camilla;SEASHELLS;12014.0;5
1;30268.0;Paris;Caesar;SEASHELLS;12040.0;5
1;30295.0;Caesar;Paris;SEASHELLS;12032.0;4
1;30330.0;Caesar;Camilla;SEASHELLS;12046.0;7
1;30350.0;Caesar;Paris;SEASHELLS;12047.0;7
1;30354.0;Caesar;Paris;SEASHELLS;12047.0;5
1;30358.0;Caesar;Paris;SEASHELLS;12048.0;8
1;30382.0;Paris;Caesar;SEASHELLS;12066.0;3
1;30423.0;Caesar;Paris;SEASHELLS;12089.0;6
1;30427.0;Caesar;Camilla;SEASHELLS;12080.0;4
1;30435.0;Caesar;Paris;SEASHELLS;12084.0;5
1;30459.0;Paris;Caesar;SEASHELLS;12085.0;8
