day;timestamp;buyer;seller;currency;price;quantity
-2;1.0;Paris;Charlie;SEASHELLS;5003.0;1
-2;12.0;Camilla;Paris;SEASHELLS;4998.0;1
-2;14.0;Charlie;Penelope;SEASHELLS;5000.0;4
-2;14.0;Caesar;Penelope;SEASHELLS;5000.0;3
-2;15.0;Charlie;Penelope;SEASHELLS;4997.0;10
-2;16.0;Paris;Charlie;SEASHELLS;5004.0;1
-2;19.0;Paris;Charlie;SEASHELLS;5003.0;1
-2;21.0;Paris;Charlie;SEASHELLS;5002.0;1
-2;33.0;Charlie;Paris;SEASHELLS;4996.0;1
-2;34.0;Charlie;Paris;SEASHELLS;4996.0;2
-2;40.0;Paris;Charlie;SEASHELLS;5002.0;1
-2;43.0;Camilla;Paris;SEASHELLS;4996.0;1
-2;65.0;Charlie;Paris;SEASHELLS;4995.0;1
-2;67.0;Caesar;Paris;SEASHELLS;4995.0;1
-2;68.0;Camilla;Paris;SEASHELLS;4996.0;2
-2;70.0;Pablo;Charlie;SEASHELLS;4999.0;1
-2;70.0;Pablo;Camilla;SEASHELLS;4999.0;1
-2;74.0;Caesar;Paris;SEASHELLS;4995.0;1
-2;75.0;Paris;Camilla;SEASHELLS;5000.0;1
-2;75.0;Paris;Pablo;SEASHELLS;4996.0;1
-2;83.0;Paris;Camilla;SEASHELLS;5000.0;1
-2;87.0;Paris;Camilla;SEASHELLS;4999.0;1
-2;88.0;Paris;Camilla;SEASHELLS;4999.0;2
-2;89.0;Paris;Charlie;SEASHELLS;4999.0;1
-2;103.0;Charlie;Paris;SEASHELLS;4994.0;1
-2;106.0;Pablo;Charlie;SEASHELLS;4999.0;5
-2;112.0;Paris;Charlie;SEASHELLS;5001.0;2
-2;114.0;Charlie;Paris;SEASHELLS;4994.0;1
-2;115.0;Charlie;Paris;SEASHELLS;4995.0;1
-2;129.0;Charlie;Gary;SEASHELLS;4994.0;13
-2;130.0;Paris;Camilla;SEASHELLS;4999.0;1
-2;136.0;Camilla;Paris;SEASHELLS;4993.0;1
-2;140.0;Charlie;Paris;SEASHELLS;4992.0;2
-2;144.0;Charlie;Paris;SEASHELLS;4992.0;1
-2;151.0;Charlie;Paris;SEASHELLS;4992.0;1
-2;159.0;Gina;Charlie;SEASHELLS;4996.0;8
-2;159.0;Gina;Camilla;SEASHELLS;4996.0;2
-2;166.0;Gary;Camilla;SEASHELLS;4995.0;9
-2;166.0;Gary;Charlie;SEASHELLS;4995.0;5
-2;168.0;Charlie;Caesar;SEASHELLS;4994.0;4
-2;169.0;Penelope;Charlie;SEASHELLS;4999.0;2
-2;179.0;Pablo;Charlie;SEASHELLS;4995.0;5
-2;182.0;Caesar;Paris;SEASHELLS;4992.0;1
-2;183.0;Charlie;Caesar;SEASHELLS;4994.0;5
-2;184.0;Paris;Charlie;SEASHELLS;4998.0;2
-2;187.0;Charlie;Paris;SEASHELLS;4993.0;1
-2;193.0;Charlie;Paris;SEASHELLS;4992.0;1
-2;195.0;Camilla;Paris;SEASHELLS;4991.0;1
-2;197.0;Pablo;Charlie;SEASHELLS;4995.0;1
-2;204.0;Penelope;Caesar;SEASHELLS;4998.0;1
-2;204.0;Paris;Charlie;SEASHELLS;4997.0;1
-2;204.0;Penelope;Charlie;SEASHELLS;4998.0;5
-2;204.0;Pablo;Charlie;SEASHELLS;4996.0;5
-2;205.0;Charlie;Penelope;SEASHELLS;4992.0;2
-2;210.0;Paris;Charlie;SEASHELLS;4998.0;1
-2;214.0;Paris;Camilla;SEASHELLS;4996.0;1
-2;224.0;Charlie;Paris;SEASHELLS;4990.0;1
-2;232.0;Paris;Pablo;SEASHELLS;4990.0;1
-2;246.0;Paris;Charlie;SEASHELLS;4993.0;1
-2;247.0;Gary;Charlie;SEASHELLS;4994.0;16
-2;252.0;Paris;Charlie;SEASHELLS;4992.0;1
-2;257.0;Paris;Charlie;SEASHELLS;4993.0;2
-2;264.0;Camilla;Paris;SEASHELLS;4986.0;1
-2;265.0;Charlie;Paris;SEASHELLS;4985.0;1
-2;267.0;Gary;Charlie;SEASHELLS;4991.0;15
-2;268.0;Paris;Charlie;SEASHELLS;4990.0;1
-2;273.0;Charlie;Paris;SEASHELLS;4985.0;1
-2;281.0;Paris;Charlie;SEASHELLS;4991.0;1
-2;284.0;Charlie;Gina;SEASHELLS;4985.0;12
-2;284.0;Paris;Pablo;SEASHELLS;4985.0;1
-2;284.0;Charlie;Pablo;SEASHELLS;4985.0;2
-2;286.0;Charlie;Pablo;SEASHELLS;4985.0;3
-2;287.0;Penelope;Charlie;SEASHELLS;4989.0;1
-2;287.0;Penelope;Camilla;SEASHELLS;4989.0;2
-2;295.0;Paris;Charlie;SEASHELLS;4990.0;2
-2;300.0;Pablo;Charlie;SEASHELLS;4989.0;5
-2;300.0;Paris;Charlie;SEASHELLS;4990.0;1
-2;304.0;Paris;Camilla;SEASHELLS;4989.0;1
-2;305.0;Charlie;Paris;SEASHELLS;4984.0;1
-2;310.0;Camilla;Paris;SEASHELLS;4984.0;1
-2;311.0;Charlie;Paris;SEASHELLS;4984.0;1
-2;313.0;Charlie;Paris;SEASHELLS;4985.0;1
-2;314.0;Paris;Camilla;SEASHELLS;4990.0;1
-2;328.0;Paris;Charlie;SEASHELLS;4987.0;1
-2;329.0;Caesar;Paris;SEASHELLS;4982.0;2
-2;332.0;Gary;Charlie;SEASHELLS;4987.0;8
-2;332.0;Gary;Camilla;SEASHELLS;4987.0;5
-2;333.0;Camilla;Paris;SEASHELLS;4983.0;1
-2;334.0;Paris;Charlie;SEASHELLS;4988.0;1
-2;339.0;Charlie;Penelope;SEASHELLS;4983.0;2
-2;340.0;Paris;Charlie;SEASHELLS;4987.0;1
-2;341.0;Paris;Paris;SEASHELLS;4988.0;1
-2;350.0;Charlie;Paris;SEASHELLS;4981.0;1
-2;354.0;Charlie;Paris;SEASHELLS;4981.0;1
-2;358.0;Charlie;Gary;SEASHELLS;4982.0;14
-2;358.0;Charlie;Paris;SEASHELLS;4982.0;1
-2;364.0;Paris;Charlie;SEASHELLS;4989.0;1
-2;369.0;Charlie;Paris;SEASHELLS;4982.0;1
-2;374.0;Caesar;Paris;SEASHELLS;4983.0;1
-2;375.0;Charlie;Pablo;SEASHELLS;4984.0;2
-2;384.0;Gary;Charlie;SEASHELLS;4990.0;13
-2;386.0;Paris;Charlie;SEASHELLS;4989.0;1
-2;390.0;Charlie;Paris;SEASHELLS;4984.0;1
-2;390.0;Charlie;Paris;SEASHELLS;4984.0;2
-2;394.0;Charlie;Paris;SEASHELLS;4984.0;1
-2;395.0;Charlie;Paris;SEASHELLS;4984.0;1
-2;396.0;Paris;Charlie;SEASHELLS;4989.0;1
-2;406.0;Caesar;Gina;SEASHELLS;4983.0;1
-2;407.0;Charlie;Paris;SEASHELLS;4983.0;1
-2;412.0;Charlie;Paris;SEASHELLS;4983.0;1
-2;417.0;Charlie;Paris;SEASHELLS;4982.0;1
-2;424.0;Penelope;Camilla;SEASHELLS;4987.0;7
-2;430.0;Paris;Camilla;SEASHELLS;4988.0;1
-2;432.0;Paris;Charlie;SEASHELLS;4990.0;2
-2;436.0;Charlie;Paris;SEASHELLS;4984.0;1
-2;440.0;Camilla;Paris;SEASHELLS;4984.0;1
-2;440.0;Paris;Charlie;SEASHELLS;4990.0;2
