day;timestamp;buyer;seller;currency;price;quantity
1;30024.0;Camilla;Pablo;SEASHELLS;73392.0;1
1;30024.0;Caesar;Pablo;SEASHELLS;73393.0;2
1;30057.0;Caesar;Penelope;SEASHELLS;73468.0;2
1;30172.0;Caesar;Penelope;SEASHELLS;73400.0;1
1;30202.0;Caesar;Penelope;SEASHELLS;73435.0;1
1;30214.0;Camilla;Pablo;SEASHELLS;73464.0;4
1;30225.0;Caesar;Pablo;SEASHELLS;73488.0;5
1;30242.0;Pablo;Caesar;SEASHELLS;73470.0;2
1;30271.0;Caesar;Penelope;SEASHELLS;73535.0;1
1;30301.0;Penelope;Caesar;SEASHELLS;73659.0;2
1;30375.0;Pablo;Camilla;SEASHELLS;73695.0;4
1;30393.0;Camilla;Penelope;SEASHELLS;73728.0;10
1;30413.0;Penelope;Camilla;SEASHELLS;73763.0;10
1;30425.0;Penelope;Caesar;SEASHELLS;73722.0;2
1;30442.0;Penelope;Caesar;SEASHELLS;73712.0;2
1;30447.0;Pablo;Camilla;SEASHELLS;73676.0;4
1;30447.0;Pablo;Caesar;SEASHELLS;73676.0;1
1;30449.0;Camilla;Penelope;SEASHELLS;73675.0;8
1;30454.0;Penelope;Camilla;SEASHELLS;73691.0;5
1;30517.0;Pablo;Caesar;SEASHELLS;73642.0;2
1;30532.0;Pablo;Caesar;SEASHELLS;73689.0;2
1;30532.0;Pablo;Camilla;SEASHELLS;73689.0;4
1;30553.0;Penelope;Caesar;SEASHELLS;73612.0;1
1;30555.0;Penelope;Caesar;SEASHELLS;73601.0;1
1;30556.0;Pablo;Caesar;SEASHELLS;73586.0;2
1;30556.0;Pablo;Caesar;SEASHELLS;73592.0;1
1;30579.0;Caesar;Penelope;SEASHELLS;73599.0;2
1;30585.0;Camilla;Penelope;SEASHELLS;73560.0;8
1;30591.0;Pablo;Caesar;SEASHELLS;73532.0;1
1;30591.0;Pablo;Camilla;SEASHELLS;73532.0;5
1;30603.0;Penelope;Caesar;SEASHELLS;73479.0;1
1;30621.0;Camilla;Pablo;SEASHELLS;73513.0;3
1;30624.0;Camilla;Pablo;SEASHELLS;73456.0;7
1;30687.0;Camilla;Pablo;SEASHELLS;73489.0;5
1;30698.0;Caesar;Penelope;SEASHELLS;73526.0;2
1;30705.0;Penelope;Caesar;SEASHELLS;73612.0;2
1;30711.0;Pablo;Caesar;SEASHELLS;73596.0;2
1;30727.0;Camilla;Pablo;SEASHELLS;73531.0;4
1;30761.0;Pablo;Camilla;SEASHELLS;73538.0;4
1;30761.0;Pablo;Caesar;SEASHELLS;73538.0;1
1;30770.0;Pablo;Camilla;SEASHELLS;73503.0;6
1;30791.0;Penelope;Caesar;SEASHELLS;73529.0;1
1;30795.0;Pablo;Caesar;SEASHELLS;73546.0;6
1;30808.0;Penelope;Caesar;SEASHELLS;73480.0;2
1;30824.0;Caesar;Penelope;SEASHELLS;73454.0;2
1;30894.0;Camilla;Pablo;SEASHELLS;73510.0;8
1;30922.0;Camilla;Pablo;SEASHELLS;73540.0;1
1;30922.0;Caesar;Pablo;SEASHELLS;73541.0;2
1;30926.0;Penelope;Caesar;SEASHELLS;73566.0;2
1;30929.0;Pablo;Camilla;SEASHELLS;73560.0;3
1;30929.0;Pablo;Caesar;SEASHELLS;73560.0;1
1;30979.0;Penelope;Caesar;SEASHELLS;73629.0;2
1;30983.0;Camilla;Penelope;SEASHELLS;73598.0;10
1;31015.0;Penelope;Caesar;SEASHELLS;73650.0;2
1;31016.0;Penelope;Caesar;SEASHELLS;73651.0;1
1;31017.0;Penelope;Camilla;SEASHELLS;73653.0;8
1;31022.0;Camilla;Pablo;SEASHELLS;73618.0;7
1;31041.0;Pablo;Caesar;SEASHELLS;73592.0;2
1;31044.0;Camilla;Pablo;SEASHELLS;73569.0;8
1;31074.0;Caesar;Penelope;SEASHELLS;73622.0;2
1;31101.0;Pablo;Camilla;SEASHELLS;73644.0;6
1;31101.0;Pablo;Caesar;SEASHELLS;73644.0;1
1;31147.0;Penelope;Camilla;SEASHELLS;73681.0;9
1;31150.0;Caesar;Penelope;SEASHELLS;73671.0;1
1;31152.0;Camilla;Pablo;SEASHELLS;73669.0;3
1;31152.0;Caesar;Pablo;SEASHELLS;73675.0;3
1;31155.0;Penelope;Caesar;SEASHELLS;73657.0;1
1;31206.0;Penelope;Caesar;SEASHELLS;73717.0;1
1;31211.0;Camilla;Penelope;SEASHELLS;73713.0;6
1;31214.0;Camilla;Pablo;SEASHELLS;73709.0;3
1;31214.0;Caesar;Pablo;SEASHELLS;73710.0;2
1;31220.0;Caesar;Penelope;SEASHELLS;73732.0;2
1;31245.0;Camilla;Pablo;SEASHELLS;73748.0;7
1;31245.0;Caesar;Pablo;SEASHELLS;73748.0;1
