day;timestamp;buyer;seller;currency;price;quantity
0;20001.0;Paris;Camilla;SEASHELLS;4003.0;6
0;20008.0;Camilla;Penelope;SEASHELLS;3997.0;11
0;20029.0;Penelope;Camilla;SEASHELLS;4004.0;14
0;20044.0;Camilla;Gary;SEASHELLS;3998.0;10
0;20055.0;Camilla;Olivia;SEASHELLS;4000.0;17
0;20064.0;Pablo;Peter;SEASHELLS;4003.0;1
0;20074.0;Camilla;Paris;SEASHELLS;3999.0;5
0;20084.0;Penelope;Camilla;SEASHELLS;4004.0;15
0;20120.0;Camilla;Penelope;SEASHELLS;3993.0;10
0;20124.0;Paris;Camilla;SEASHELLS;4001.0;5
0;20198.0;Paris;Camilla;SEASHELLS;3996.0;4
0;20220.0;Camilla;Penelope;SEASHELLS;3988.0;13
0;20230.0;Paris;Camilla;SEASHELLS;3994.0;1
0;20296.0;Camilla;Penelope;SEASHELLS;3983.0;10
0;20299.0;Paris;Camilla;SEASHELLS;3990.0;8
0;20302.0;Paris;Camilla;SEASHELLS;3991.0;4
0;20313.0;Paris;Camilla;SEASHELLS;3990.0;1
0;20316.0;Camilla;Penelope;SEASHELLS;3984.0;11
0;20320.0;Penelope;Camilla;SEASHELLS;3990.0;11
0;20329.0;Camilla;Paris;SEASHELLS;3983.0;1
0;20347.0;Camilla;Paris;SEASHELLS;3984.0;3
0;20359.0;Camilla;Paris;SEASHELLS;3984.0;10
0;20380.0;Camilla;Penelope;SEASHELLS;3985.0;10
0;20416.0;Camilla;Paris;SEASHELLS;3986.0;3
0;20432.0;Penelope;Camilla;SEASHELLS;3991.0;13
0;20438.0;Camilla;Penelope;SEASHELLS;3983.0;13
0;20458.0;Paris;Camilla;SEASHELLS;3993.0;9
0;20480.0;Camilla;Paris;SEASHELLS;3986.0;1
0;20483.0;Camilla;Penelope;SEASHELLS;3985.0;14
0;20516.0;Camilla;Paris;SEASHELLS;3987.0;4
0;20519.0;Gina;Peter;SEASHELLS;3989.0;3
0;20545.0;Camilla;Paris;SEASHELLS;3985.0;1
0;20565.0;Penelope;Camilla;SEASHELLS;3990.0;10
0;20579.0;Camilla;Paris;SEASHELLS;3983.0;4
0;20617.0;Paris;Camilla;SEASHELLS;3993.0;7
0;20624.0;Camilla;Paris;SEASHELLS;3986.0;4
0;20632.0;Camilla;Gary;SEASHELLS;3984.0;19
0;20658.0;Camilla;Penelope;SEASHELLS;3987.0;12
0;20660.0;Paris;Camilla;SEASHELLS;3994.0;10
0;20667.0;Camilla;Gary;SEASHELLS;3985.0;16
0;20671.0;Penelope;Camilla;SEASHELLS;3991.0;10
0;20686.0;Paris;Penelope;SEASHELLS;3985.0;4
0;20686.0;Camilla;Penelope;SEASHELLS;3985.0;11
0;20691.0;Camilla;Penelope;SEASHELLS;3984.0;11
0;20695.0;Camilla;Paris;SEASHELLS;3985.0;2
0;20698.0;Paris;Camilla;SEASHELLS;3992.0;1
0;20719.0;Penelope;Camilla;SEASHELLS;3991.0;12
0;20738.0;Camilla;Paris;SEASHELLS;3980.0;10
0;20774.0;Camilla;Gary;SEASHELLS;3976.0;13
0;20790.0;Penelope;Camilla;SEASHELLS;3982.0;10
0;20804.0;Penelope;Camilla;SEASHELLS;3979.0;11
0;20837.0;Penelope;Camilla;SEASHELLS;3977.0;11
0;20855.0;Paris;Camilla;SEASHELLS;3976.0;7
0;20897.0;Camilla;Paris;SEASHELLS;3969.0;10
0;20913.0;Gary;Camilla;SEASHELLS;3979.0;19
0;20938.0;Pablo;Peter;SEASHELLS;3974.0;4
0;20970.0;Paris;Camilla;SEASHELLS;3977.0;7
0;20992.0;Camilla;Paris;SEASHELLS;3972.0;2
0;21002.0;Peter;Pablo;SEASHELLS;3972.0;5
0;21002.0;Camilla;Paris;SEASHELLS;3970.0;7
0;21013.0;Camilla;Penelope;SEASHELLS;3970.0;14
0;21017.0;Penelope;Camilla;SEASHELLS;3978.0;13
0;21020.0;Camilla;Paris;SEASHELLS;3971.0;2
0;21029.0;Camilla;Penelope;SEASHELLS;3971.0;11
0;21036.0;Camilla;Penelope;SEASHELLS;3969.0;13
0;21044.0;Paris;Camilla;SEASHELLS;3973.0;10
0;21059.0;Peter;Paris;SEASHELLS;3966.0;3
