day;timestamp;buyer;seller;currency;price;quantity
-1;10017.0;Charlie;Pablo;SEASHELLS;8000.0;30
-1;10029.0;Charlie;Peter;SEASHELLS;7997.0;10
-1;10035.0;Caesar;Caesar;SEASHELLS;7996.0;40
-1;10053.0;Charlie;Peter;SEASHELLS;7997.0;9
-1;10115.0;Caesar;Peter;SEASHELLS;8004.0;10
-1;10130.0;Caesar;Peter;SEASHELLS;8003.0;6
-1;10157.0;Charlie;Pablo;SEASHELLS;8002.0;13
-1;10174.0;Caesar;Caesar;SEASHELLS;7999.0;52
-1;10182.0;Charlie;Pablo;SEASHELLS;7996.0;22
-1;10279.0;Caesar;Caesar;SEASHELLS;7991.0;58
-1;10301.0;Charlie;Pablo;SEASHELLS;7995.0;26
-1;10321.0;Peter;Charlie;SEASHELLS;7999.0;8
-1;10329.0;Caesar;Caesar;SEASHELLS;7996.0;43
-1;10368.0;Caesar;Caesar;SEASHELLS;7989.0;54
-1;10393.0;Peter;Caesar;SEASHELLS;7991.0;5
-1;10445.0;Charlie;Pablo;SEASHELLS;7984.0;19
-1;10457.0;Charlie;Peter;SEASHELLS;7977.0;7
-1;10509.0;Peter;Charlie;SEASHELLS;7979.0;7
-1;10560.0;Caesar;Pablo;SEASHELLS;7977.0;29
-1;10576.0;Peter;Charlie;SEASHELLS;7976.0;9
-1;10578.0;Charlie;Pablo;SEASHELLS;7972.0;27
-1;10606.0;Caesar;Caesar;SEASHELLS;7964.0;70
-1;10676.0;Caesar;Caesar;SEASHELLS;7957.0;56
-1;10676.0;Caesar;Caesar;SEASHELLS;7957.0;21
-1;10698.0;Charlie;Peter;SEASHELLS;7963.0;8
-1;10713.0;Charlie;Pablo;SEASHELLS;7963.0;13
-1;10736.0;Caesar;Peter;SEASHELLS;7965.0;9
-1;10753.0;Peter;Charlie;SEASHELLS;7972.0;9
-1;10779.0;Caesar;Caesar;SEASHELLS;7964.0;58
-1;10800.0;Charlie;Pablo;SEASHELLS;7961.0;19
-1;10894.0;Peter;Caesar;SEASHELLS;7955.0;8
-1;10924.0;Charlie;Pablo;SEASHELLS;7955.0;18
-1;10959.0;Peter;Charlie;SEASHELLS;7961.0;10
-1;10969.0;Caesar;Caesar;SEASHELLS;7961.0;13
-1;10969.0;Caesar;Caesar;SEASHELLS;7961.0;40
-1;10977.0;Peter;Charlie;SEASHELLS;7964.0;9
-1;11007.0;Charlie;Pablo;SEASHELLS;7968.0;22
-1;11010.0;Charlie;Pablo;SEASHELLS;7966.0;12
-1;11035.0;Caesar;Caesar;SEASHELLS;7965.0;66
-1;11131.0;Caesar;Caesar;SEASHELLS;7972.0;46
-1;11145.0;Caesar;Caesar;SEASHELLS;7966.0;53
-1;11168.0;Charlie;Peter;SEASHELLS;7958.0;6
-1;11171.0;Peter;Caesar;SEASHELLS;7962.0;9
-1;11222.0;Peter;Charlie;SEASHELLS;7965.0;8
-1;11252.0;Caesar;Peter;SEASHELLS;7966.0;10
-1;11253.0;Caesar;Caesar;SEASHELLS;7965.0;46
-1;11253.0;Caesar;Caesar;SEASHELLS;7965.0;29
-1;11255.0;Caesar;Caesar;SEASHELLS;7965.0;43
-1;11265.0;Charlie;Peter;SEASHELLS;7963.0;6
-1;11276.0;Caesar;Pablo;SEASHELLS;7966.0;26
-1;11306.0;Caesar;Caesar;SEASHELLS;7967.0;65
-1;11325.0;Charlie;Pablo;SEASHELLS;7969.0;21
-1;11332.0;Caesar;Caesar;SEASHELLS;7970.0;47
-1;11410.0;Charlie;Peter;SEASHELLS;7970.0;10
-1;11441.0;Caesar;Caesar;SEASHELLS;7968.0;23
-1;11441.0;Caesar;Caesar;SEASHELLS;7968.0;50
-1;11468.0;Charlie;Pablo;SEASHELLS;7966.0;10
-1;11525.0;Caesar;Caesar;SEASHELLS;7972.0;69
-1;11585.0;Charlie;Peter;SEASHELLS;7977.0;8
-1;11608.0;Peter;Charlie;SEASHELLS;7981.0;6
-1;11610.0;Peter;Charlie;SEASHELLS;7980.0;7
-1;11636.0;Caesar;Caesar;SEASHELLS;7978.0;53
-1;11636.0;Caesar;Caesar;SEASHELLS;7978.0;1
-1;11641.0;Caesar;Pablo;SEASHELLS;7978.0;17
-1;11663.0;Charlie;Peter;SEASHELLS;7981.0;6
-1;11697.0;Peter;Charlie;SEASHELLS;7981.0;10
-1;11722.0;Pablo;Caesar;SEASHELLS;7982.0;10
-1;11737.0;Charlie;Pablo;SEASHELLS;7980.0;19
-1;11757.0;Caesar;Caesar;SEASHELLS;7983.0;41
-1;11770.0;Charlie;Peter;SEASHELLS;7979.0;6
-1;11786.0;Peter;Caesar;SEASHELLS;7982.0;8
-1;11787.0;Caesar;Caesar;SEASHELLS;7980.0;45
-1;11789.0;Caesar;Caesar;SEASHELLS;7983.0;57
-1;11815.0;Caesar;Caesar;SEASHELLS;7977.0;63
-1;11817.0;Charlie;Pablo;SEASHELLS;7976.0;10
-1;11844.0;Caesar;Pablo;SEASHELLS;7981.0;20
-1;11911.0;Caesar;Caesar;SEASHELLS;7981.0;46
-1;11926.0;Charlie;Pablo;SEASHELLS;7982.0;16
-1;11965.0;Charlie;Pablo;SEASHELLS;7982.0;25
-1;12033.0;Caesar;Caesar;SEASHELLS;7982.0;20
-1;12033.0;Caesar;Caesar;SEASHELLS;7982.0;46
-1;12063.0;Charlie;Peter;SEASHELLS;7978.0;7
-1;12064.0;Peter;Charlie;SEASHELLS;7981.0;10
-1;12069.0;Peter;Charlie;SEASHELLS;7981.0;5
-1;12072.0;Charlie;Peter;SEASHELLS;7976.0;5
-1;12075.0;Peter;Charlie;SEASHELLS;7980.0;9
-1;12076.0;Charlie;Pablo;SEASHELLS;7976.0;16
-1;12080.0;Charlie;Pablo;SEASHELLS;7976.0;15
-1;12083.0;Charlie;Peter;SEASHELLS;7974.0;9
-1;12116.0;Caesar;Caesar;SEASHELLS;7974.0;45
-1;12122.0;Caesar;Caesar;SEASHELLS;7974.0;74
-1;12143.0;Peter;Charlie;SEASHELLS;7976.0;7
-1;12226.0;Charlie;Pablo;SEASHELLS;7970.0;13
-1;12229.0;Caesar;Caesar;SEASHELLS;7971.0;45
-1;12262.0;Charlie;Peter;SEASHELLS;7967.0;6
-1;12324.0;Charlie;Peter;SEASHELLS;7969.0;6
-1;12340.0;Caesar;Caesar;SEASHELLS;7971.0;56
-1;12369.0;Charlie;Peter;SEASHELLS;7972.0;6
-1;12374.0;Caesar;Caesar;SEASHELLS;7971.0;56
-1;12374.0;Caesar;Caesar;SEASHELLS;7971.0;6
-1;12379.0;Peter;Charlie;SEASHELLS;7975.0;7
-1;12420.0;Charlie;Pablo;SEASHELLS;7967.0;19
-1;12440.0;Peter;Charlie;SEASHELLS;7972.0;7
-1;12453.0;Charlie;Peter;SEASHELLS;7969.0;7
-1;12469.0;Charlie;Peter;SEASHELLS;7963.0;6
-1;12470.0;Pablo;Caesar;SEASHELLS;7966.0;11
-1;12495.0;Caesar;Peter;SEASHELLS;7960.0;5
-1;12532.0;Peter;Caesar;SEASHELLS;7966.0;6
-1;12555.0;Caesar;Caesar;SEASHELLS;7966.0;50
-1;12601.0;Caesar;Pablo;SEASHELLS;7972.0;12
-1;12608.0;Charlie;Pablo;SEASHELLS;7975.0;30
-1;12650.0;Peter;Charlie;SEASHELLS;7976.0;6
