day;timestamp;buyer;seller;currency;price;quantity
1;30003.0;Paris;Camilla;SEASHELLS;7002.0;9
1;30008.0;Caesar;Camilla;SEASHELLS;7002.0;6
1;30016.0;Caesar;Camilla;SEASHELLS;6998.0;10
1;30016.0;Caesar;Paris;SEASHELLS;6998.0;8
1;30017.0;Caesar;Camilla;SEASHELLS;6995.0;4
1;30018.0;Caesar;Paris;SEASHELLS;6995.0;8
1;30045.0;Caesar;Camilla;SEASHELLS;6992.0;6
1;30047.0;Paris;Caesar;SEASHELLS;6995.0;5
1;30047.0;Caesar;Camilla;SEASHELLS;6993.0;9
1;30056.0;Caesar;Camilla;SEASHELLS;6998.0;9
1;30062.0;Caesar;Paris;SEASHELLS;6998.0;4
1;30065.0;Caesar;Camilla;SEASHELLS;6997.0;6
1;30068.0;Paris;Caesar;SEASHELLS;6999.0;9
1;30078.0;Paris;Caesar;SEASHELLS;6998.0;10
1;30083.0;Caesar;Paris;SEASHELLS;6992.0;5
1;30086.0;Caesar;Camilla;SEASHELLS;6992.0;3
1;30092.0;Paris;Caesar;SEASHELLS;6994.0;5
1;30095.0;Caesar;Paris;SEASHELLS;6991.0;9
1;30103.0;Caesar;Camilla;SEASHELLS;6996.0;7
1;30120.0;Caesar;Paris;SEASHELLS;6994.0;7
1;30125.0;Caesar;Paris;SEASHELLS;6991.0;7
1;30132.0;Paris;Caesar;SEASHELLS;6992.0;9
1;30134.0;Caesar;Camilla;SEASHELLS;6991.0;10
1;30138.0;Caesar;Camilla;SEASHELLS;6991.0;12
1;30148.0;Caesar;Camilla;SEASHELLS;6994.0;3
1;30152.0;Caesar;Paris;SEASHELLS;6990.0;4
1;30155.0;Paris;Caesar;SEASHELLS;6992.0;6
1;30164.0;Caesar;Camilla;SEASHELLS;6989.0;12
1;30182.0;Caesar;Camilla;SEASHELLS;6991.0;12
1;30204.0;Paris;Caesar;SEASHELLS;6992.0;7
1;30208.0;Caesar;Paris;SEASHELLS;6995.0;9
1;30209.0;Caesar;Camilla;SEASHELLS;6995.0;12
1;30212.0;Caesar;Paris;SEASHELLS;6994.0;5
1;30230.0;Paris;Caesar;SEASHELLS;7000.0;4
