day;timestamp;buyer;seller;currency;price;quantity
0;20002.0;Camilla;Paris;SEASHELLS;99999.0;1
0;20070.0;Paris;Charlie;SEASHELLS;99913.0;2
0;20075.0;Charlie;Paris;SEASHELLS;99893.0;2
0;20085.0;Charlie;Paris;SEASHELLS;99906.0;2
0;20087.0;Camilla;Camilla;SEASHELLS;99898.0;2
0;20106.0;Paris;Charlie;SEASHELLS;99894.0;1
0;20149.0;Camilla;Paris;SEASHELLS;99843.0;3
0;20151.0;Camilla;Camilla;SEASHELLS;99849.0;3
0;20164.0;Camilla;Paris;SEASHELLS;99832.0;3
0;20179.0;Paris;Charlie;SEASHELLS;99798.0;3
0;20183.0;Camilla;Camilla;SEASHELLS;99793.0;3
0;20197.0;Paris;Charlie;SEASHELLS;99816.0;3
0;20204.0;Paris;Camilla;SEASHELLS;99834.0;2
0;20228.0;Camilla;Paris;SEASHELLS;99788.0;3
0;20231.0;Camilla;Paris;SEASHELLS;99772.0;1
0;20232.0;Charlie;Paris;SEASHELLS;99773.0;3
0;20239.0;Camilla;Camilla;SEASHELLS;99782.0;1
0;20241.0;Charlie;Paris;SEASHELLS;99772.0;1
0;20284.0;Charlie;Paris;SEASHELLS;99721.0;3
0;20286.0;Camilla;Paris;SEASHELLS;99728.0;2
0;20300.0;Paris;Charlie;SEASHELLS;99750.0;2
0;20356.0;Paris;Charlie;SEASHELLS;99765.0;3
0;20372.0;Charlie;Paris;SEASHELLS;99761.0;3
0;20375.0;Camilla;Paris;SEASHELLS;99744.0;1
0;20378.0;Charlie;Paris;SEASHELLS;99763.0;3
0;20384.0;Paris;Charlie;SEASHELLS;99746.0;1
0;20397.0;Paris;Camilla;SEASHELLS;99740.0;3
0;20408.0;Camilla;Camilla;SEASHELLS;99727.0;1
0;20409.0;Camilla;Camilla;SEASHELLS;99730.0;2
0;20414.0;Paris;Charlie;SEASHELLS;99744.0;1
0;20459.0;Camilla;Paris;SEASHELLS;99696.0;2
0;20481.0;Camilla;Paris;SEASHELLS;99628.0;2
0;20493.0;Camilla;Paris;SEASHELLS;99615.0;3
0;20538.0;Charlie;Paris;SEASHELLS;99527.0;1
