day;timestamp;buyer;seller;currency;price;quantity
-2;1.0;Paris;Penelope;SEASHELLS;9996.0;1
-2;1.0;Caesar;Penelope;SEASHELLS;9996.0;1
-2;16.0;Paris;Caesar;SEASHELLS;10004.0;1
-2;26.0;Charlie;Paris;SEASHELLS;9998.0;1
-2;33.0;Caesar;Paris;SEASHELLS;9996.0;1
-2;34.0;Charlie;Paris;SEASHELLS;9995.0;2
-2;37.0;Penelope;Charlie;SEASHELLS;10005.0;6
-2;41.0;Camilla;Pablo;SEASHELLS;9998.0;1
-2;43.0;Penelope;Caesar;SEASHELLS;10004.0;2
-2;43.0;Penelope;Charlie;SEASHELLS;10004.0;1
-2;68.0;Camilla;Paris;SEASHELLS;9998.0;2
-2;75.0;Paris;Camilla;SEASHELLS;10002.0;1
-2;76.0;Paris;Charlie;SEASHELLS;10002.0;1
-2;87.0;Paris;Camilla;SEASHELLS;10002.0;1
-2;88.0;Paris;Camilla;SEASHELLS;10002.0;2
-2;89.0;Paris;Charlie;SEASHELLS;10002.0;1
-2;97.0;Caesar;Penelope;SEASHELLS;10000.0;3
-2;102.0;Caesar;Paris;SEASHELLS;9998.0;1
-2;103.0;Caesar;Paris;SEASHELLS;9996.0;1
-2;112.0;Paris;Charlie;SEASHELLS;10005.0;2
-2;131.0;Charlie;Paris;SEASHELLS;9998.0;1
-2;137.0;Caesar;Paris;SEASHELLS;9998.0;1
-2;140.0;Caesar;Paris;SEASHELLS;9996.0;1
-2;140.0;Charlie;Paris;SEASHELLS;9996.0;1
-2;141.0;Penelope;Charlie;SEASHELLS;10005.0;7
-2;152.0;Penelope;Charlie;SEASHELLS;10005.0;4
-2;155.0;Pablo;Camilla;SEASHELLS;10002.0;5
-2;174.0;Paris;Camilla;SEASHELLS;10002.0;1
-2;183.0;Camilla;Paris;SEASHELLS;9998.0;1
-2;184.0;Paris;Charlie;SEASHELLS;10005.0;2
-2;184.0;Camilla;Paris;SEASHELLS;9998.0;1
