day;timestamp;buyer;seller;symbol;currency;price;quantity
-2;0;Paris;Charlie;BANANAS;SEASHELLS;5003.0;1
-2;0;Paris;Penelope;PEARLS;SEASHELLS;9996.0;1
-2;0;Caesar;Penelope;PEARLS;SEASHELLS;9996.0;1
-2;1100;Camilla;Paris;BANANAS;SEASHELLS;4998.0;1
-2;1300;Charlie;Penelope;BANANAS;SEASHELLS;5000.0;4
-2;1300;Caesar;Penelope;BANANAS;SEASHELLS;5000.0;3
-2;1400;Charlie;Penelope;BANANAS;SEASHELLS;4997.0;10
-2;1500;Paris;Charlie;BANANAS;SEASHELLS;5004.0;1
-2;1500;Paris;Caesar;PEARLS;SEASHELLS;10004.0;1
-2;1800;Paris;Charlie;BANANAS;SEASHELLS;5003.0;1
-2;2000;Paris;Charlie;BANANAS;SEASHELLS;5002.0;1
-2;2500;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
-2;3200;Charlie;Paris;BANANAS;SEASHELLS;4996.0;1
-2;3200;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
-2;3300;Charlie;Paris;PEARLS;SEASHELLS;9995.0;2
-2;3300;Charlie;Paris;BANANAS;SEASHELLS;4996.0;2
-2;3600;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;6
-2;3900;Paris;Charlie;BANANAS;SEASHELLS;5002.0;1
-2;4000;Camilla;Pablo;PEARLS;SEASHELLS;9998.0;1
-2;4200;Camilla;Paris;BANANAS;SEASHELLS;4996.0;1
-2;4200;Penelope;Caesar;PEARLS;SEASHELLS;10004.0;2
-2;4200;Penelope;Charlie;PEARLS;SEASHELLS;10004.0;1
-2;6400;Charlie;Paris;BANANAS;SEASHELLS;4995.0;1
-2;6600;Caesar;Paris;BANANAS;SEASHELLS;4995.0;1
-2;6700;Camilla;Paris;PEARLS;SEASHELLS;9998.0;2
-2;6700;Camilla;Paris;BANANAS;SEASHELLS;4996.0;2
-2;6900;Pablo;Charlie;BANANAS;SEASHELLS;4999.0;1
-2;6900;Pablo;Camilla;BANANAS;SEASHELLS;4999.0;1
-2;7300;Caesar;Paris;BANANAS;SEASHELLS;4995.0;1
-2;7400;Paris;Camilla;BANANAS;SEASHELLS;5000.0;1
-2;7400;Paris;Pablo;BANANAS;SEASHELLS;4996.0;1
-2;7400;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
-2;7500;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-2;8200;Paris;Camilla;BANANAS;SEASHELLS;5000.0;1
-2;8600;Paris;Camilla;BANANAS;SEASHELLS;4999.0;1
-2;8600;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
-2;8700;Paris;Camilla;PEARLS;SEASHELLS;10002.0;2
-2;8700;Paris;Camilla;BANANAS;SEASHELLS;4999.0;2
-2;8800;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
-2;8800;Paris;Charlie;BANANAS;SEASHELLS;4999.0;1
-2;9600;Caesar;Penelope;PEARLS;SEASHELLS;10000.0;3
-2;10100;Caesar;Paris;PEARLS;SEASHELLS;9998.0;1
-2;10200;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
-2;10200;Charlie;Paris;BANANAS;SEASHELLS;4994.0;1
-2;10500;Pablo;Charlie;BANANAS;SEASHELLS;4999.0;5
-2;11100;Paris;Charlie;BANANAS;SEASHELLS;5001.0;2
-2;11100;Paris;Charlie;PEARLS;SEASHELLS;10005.0;2
-2;11300;Charlie;Paris;BANANAS;SEASHELLS;4994.0;1
-2;11400;Charlie;Paris;BANANAS;SEASHELLS;4995.0;1
-2;12800;Charlie;Gary;BANANAS;SEASHELLS;4994.0;13
-2;12900;Paris;Camilla;BANANAS;SEASHELLS;4999.0;1
-2;13000;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
-2;13500;Camilla;Paris;BANANAS;SEASHELLS;4993.0;1
-2;13600;Caesar;Paris;PEARLS;SEASHELLS;9998.0;1
-2;13900;Charlie;Paris;BANANAS;SEASHELLS;4992.0;2
-2;13900;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
-2;13900;Charlie;Paris;PEARLS;SEASHELLS;9996.0;1
-2;14000;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;7
